circ,co_cep,plq,pq,caq,qs,autres,anglos,francos,allos
Mégantic,103,0.3509,0.3122,0.2562,0.054,0.0267,0.0498172324,0.9460052219,0.0042819843
Saint-François,111,0.3614,0.364,0.1805,0.0501,0.044,0.0756855576,0.9034734918,0.0208409506
Sherbrooke,113,0.346,0.4242,0.1182,0.0697,0.0419,0.0241263225,0.9282622635,0.0476114139
Orford,123,0.3658,0.3055,0.2415,0.0539,0.0333,0.1782735839,0.8129535362,0.0087728799
Brome-Missisquoi,129,0.3308,0.2526,0.3232,0.046,0.0474,0.1974773354,0.7945605045,0.00796216
Granby,133,0.1617,0.2271,0.5214,0.0567,0.0331,0.0154302153,0.9717548601,0.012902101
Iberville,143,0.1926,0.3884,0.3333,0.0429,0.0428,0.025885949,0.9653262012,0.0088833699
Huntingdon,149,0.396,0.2665,0.257,0.0372,0.0433,0.1795079478,0.8052040093,0.0152880429
Beauharnois,153,0.2041,0.4513,0.257,0.0393,0.0483,0.021662328,0.9722015619,0.0061361101
Soulanges,163,0.3505,0.309,0.2803,0.0362,0.024,0.1976819657,0.7915623551,0.0108484006
Vaudreuil,169,0.4507,0.2071,0.2562,0.0486,0.0374,0.3071518787,0.660483107,0.0324439533
Châteauguay,173,0.3772,0.3145,0.2384,0.0333,0.0366,0.2386140382,0.7287015538,0.0327737096
Sanguinet,177,0.1992,0.407,0.3239,0.0347,0.0352,0.0398776242,0.9439814326,0.0160354468
La Prairie,183,0.2742,0.3243,0.3267,0.0352,0.0396,0.0779485092,0.8958990536,0.0262541976
Saint-Jean,189,0.1997,0.4058,0.3226,0.0421,0.0298,0.0207033466,0.9680232558,0.0112733976
Chambly,193,0.1648,0.4013,0.3416,0.0499,0.0424,0.0439378619,0.9489842816,0.0070778564
La Pinière,203,0.4929,0.1781,0.2445,0.0436,0.0409,0.1896820102,0.5634126455,0.2468312208
Laporte,209,0.3719,0.3118,0.2326,0.0592,0.0245,0.2176882363,0.7111149052,0.0711968585
Marie-Victorin,213,0.1755,0.4713,0.2155,0.0824,0.0553,0.0329406107,0.890839144,0.0763003927
Taillon,223,0.1928,0.4026,0.2795,0.0746,0.0505,0.0298790609,0.906726741,0.063315153
Vachon,229,0.2121,0.3959,0.2966,0.0505,0.0449,0.0888888889,0.8623093682,0.0488017429
Montarville,233,0.2443,0.3152,0.3577,0.0447,0.0381,0.0608010294,0.9259289046,0.0132700659
Borduas,243,0.1704,0.3941,0.3395,0.058,0.038,0.029525429,0.9624362343,0.0080383367
