Circonscription,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
ABITIBI-EST,,Samuel Dupras,,,Richard Trudel,,,,,Pierre Corbeil,,,Élizabeth Larouche,,Yvette Poucachiche,,Sarah Charbonneau-Beaulieu,,,,
ABITIBI-OUEST,,Sébastien D'Astous,,,Grégory Vézeau,,,,,Claude Nelson Morin,,,François Gendron,,,,Ghislaine Camirand,,,,
ACADIE,,Abel-Claude Arslanian,,,Sébastien Croteau,,,,,Christine St-Pierre,,,Rachid Bandou,,,,Marianne Breton-Fontaine,,,,
ANJOU-LOUIS-RIEL,,Richard Campeau,Samuel Stohl,,Raphaël Couture,,,,,Lise Thériault,Linda Sullivan,,Martine Roux,,,,Marlène Lessard,,,,
ARGENTEUIL,,Mario Laframboise,,,Patrick Sabourin,,,,,Lise Proulx,,,Roland Richer,,Stephen Matthews,,Yvan Zanetti,,,,
ARTHABASKA,,Sylvie Roy,,,Rémi Marineau,,,,,Claude Bachand,,,Lucie Lebrun,,François Fillion,,Christine Letendre,Eric Lafontaine,Jean Landry,,
BEAUCE-NORD,,André Spénard,Danielle Favreau,,Stéphane Trudel,,Sébastien Drouin,,,Jack Roy,,,Daniel Bizier,,Gwendoline Mathieu-Poulin,,Yv Bonnier Viger,,Benoît Roy,,
BEAUCE-SUD,,Richard Savoie,,,Vanessa Roy,,,,,Robert Dutil,,,Luc Villeneuve,,,Robert Genesse,Marie-Claude Verville,,Jean Rhéaume,,
BEAUHARNOIS,,Michel Drouin,,,Jérémie Poupart Montpetit,,Lynne Mimeault,,,Lyse Lemieux,,,Guy Leclair,,Bruno Auclair,,Pierre-Paul St-Onge,,Matthieu Bonin,,Sylvain Larocque
BELLECHASSE,,Christian Lévesque,,Sébastien Ruel,,Patrice Aubin,Linda Beaudoin,,,Dominique Vien,,,Clément Pouliot,Christine Lavoie,,,Benoit Comeau,,,,
BERTHIER,,François Benjamin,Pierre Baril,,Raymond Guay,,,,,Catherine Haulard,,,André Villeneuve,,Dany Ouellet,,Louise Beaudry,,,,
BERTRAND,,Jean-Marc Lacoste,Patrick Dubé,,Samuelle Ducrocq-Henry,,,,,Yannick Ouellette,,,Claude Cousineau,,Marc St-Germain,,Lise Boivin,,,,
BLAINVILLE,,Daniel Ratthé,,,Christian Bélanger,,,,Yan Bégin,Joao Neves,,,Bernard Généreux,,Michel Sigouin,,Étienne Ferland,,,,
BONAVENTURE,,Jean-Marc Landry,,,Louis-Patrick St-Pierre,,,,,Damien Arsenault,,,Sylvain Roy,,,,Patricia Chartier,,,,
BORDUAS,,Emmanuelle Géhin,,,Martin Dulac,,,,Michel Lepage,Conrad Deschênes,,,Pierre Duchesne,,Mary Harper,,Jean-François Lessard,,,,
BOURASSA-SAUVÉ,,Louis Pelletier,,,Nancy Lavallée,,,,,Rita de Santis,,,Marianne Dessureault,,Éric Jr. Guerra-Grenier,,Will Prosper,,,,
