Circonscription,Voteurs enregistrés,Votes rejetés,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
ABITIBI-EST,33261,454,,4059,,,452,,,,,7653,,,8430,,316,,1047,,,,
ABITIBI-OUEST,35106,321,,4759,,,1007,,,,,4399,,,12066,,,,1260,,,,
ACADIE,48339,418,,5393,,,512,,,,,17191,,,5319,,,,2474,,,,
ANJOU-LOUIS-RIEL,43456,448,,6371,113,,407,,,,,12953,99,,9998,,,,2347,,,,
ARGENTEUIL,43902,315,,8554,,,414,,,,,9387,,,12449,,653,,855,,,,
ARTHABASKA,58158,571,,18906,,,519,,,,,13623,,,8964,,501,,1775,91,316,,
BEAUCE-NORD,41748,363,,18126,222,,286,,494,,,7970,,,3207,,345,,697,,266,,
BEAUCE-SUD,47758,453,,14141,,,558,,,,,14791,,,3987,,,257,861,,302,,
BEAUHARNOIS,45260,519,,8599,,,516,,189,,,6829,,,15103,,512,,1316,,269,,129
BELLECHASSE,42892,402,,12414,,151,,342,211,,,13137,,,4895,115,,,985,,,,
BERTHIER,55944,624,,13450,220,,452,,,,,5458,,,19584,,518,,2015,,,,
BERTRAND,57000,393,,14005,222,,744,,,,,7602,,,18225,,682,,2351,,,,
BLAINVILLE,57627,498,,19255,,,750,,,,142,7417,,,16666,,708,,1829,,,,
BONAVENTURE,36121,204,,2766,,,316,,,,,8675,,,11809,,,,1277,,,,
BORDUAS,55933,528,,15644,,,927,,,,107,7852,,,18158,,718,,2673,,,,
BOURASSA-SAUVÉ,47036,569,,5148,,,399,,,,,12514,,,8068,,464,,3041,,,,
BOURGET,48998,496,,7499,70,,699,,,,194,6940,68,,16245,56,536,,3364,,,,
BROME-MISSISQUOI,55304,432,,13826,230,,546,,255,,,14154,,,10809,,719,,1970,,142,134,
CHAMBLY,45554,400,,12857,,,765,,199,,,6203,,,15104,,633,,1878,,,,
CHAMPLAIN,48799,555,,12220,,113,1084,,,,,8193,,,13624,,,,1541,,379,,
CHAPLEAU,54425,387,,8191,,,421,,,,,14761,86,,9146,,774,,1731,,,,
CHARLESBOURG,52467,509,,15288,,103,780,,,,,14157,53,335,8760,112,,,1612,,232,,
CHARLEVOIX-CÔTE-DE-BEAUPRÉ,50717,462,,10113,239,,614,,,,,10207,,,15300,,,,1215,,,,
CHÂTEAUGUAY,49347,513,,8734,,,396,,259,,,13819,,,11519,,684,,1220,,,,
CHAUVEAU,56759,558,,23793,,88,689,235,241,,,11075,,,7352,,,,1359,80,,,
CHICOUTIMI,46727,442,,8772,,,658,442,,,,7846,,,15560,,,,1719,,,,
CHOMEDEY,56933,418,,7379,,,341,,,,,21893,,,6440,,663,,1362,,267,,
CHUTES-DE-LA-CHAUDIÈRE,54662,869,,24116,,,,,462,,,10356,,,7668,,622,,1721,,,,
CÔTE-DU-SUD,50617,450,,10755,,259,542,,,,,14038,,,9293,,,,1221,,,,
CRÉMAZIE,45887,475,,5933,,,825,,,,,10004,,,13392,,518,,4014,,,,
D'ARCY-MCGEE,40280,204,,1938,,,,,,,,22285,,,767,,,,987,,328,,
DEUX-MONTAGNES,47154,545,,13076,,,712,,,,,6667,,,14405,,724,,1528,,,,
DRUMMOND-BOIS-FRANCS,49572,596,,14173,,,968,,447,,,8764,,,11556,117,,,1649,,369,,
DUBUC,39712,377,,6921,,,343,,,,,8080,,,12345,,,,1118,,271,185,
DUPLESSIS,38407,285,,2694,407,,593,,,,,6143,,,12393,,,,1032,,119,,
FABRE,47199,370,,9853,,,398,,,,,13405,,,9925,,547,,1260,,207,,
GASPÉ,31119,201,,1966,,,394,,,,,5887,,,11744,,,,775,,,,
GATINEAU,56114,308,,6910,,,373,,,,,16754,95,,10079,,898,,1645,,,,
GOUIN,43608,335,,2688,,,,,,,,3876,,,10945,142,445,,15509,,,,
GRANBY,49786,471,,19517,135,,477,,368,,,6051,,261,8502,,,,2121,,,,
GROULX,56228,511,,16711,,,895,,,,,8776,,,14948,,591,,1892,,140,,
HOCHELAGA-MAISONNEUVE,40907,385,,3564,145,,1116,,,,40,3262,84,162,12754,,453,,6701,,,,
HULL,51663,320,,5323,,,287,,,,,13179,72,260,10708,,781,,2651,119,,,
HUNTINGDON,41495,385,,7719,312,,289,,181,,,11896,,,8007,,448,,1118,70,,,
IBERVILLE,46119,546,,11826,,,669,,,,,6833,,,13780,,853,,1522,,,,
ÎLES-DE-LA-MADELEINE,10930,95,,407,,,80,,,,,3244,,,4304,,,,403,,,,
JACQUES-CARTIER,43861,176,,5006,,,128,,,,,24525,,,1232,,1522,,859,86,189,,
JEAN-LESAGE,46448,468,,8894,,77,1289,,,,,9965,64,,9314,56,,,2597,84,222,,
JEANNE-MANCE-VIGER,48069,425,,4586,,,413,,,,,20716,104,,4236,,,,1601,,,,
JEAN-TALON,45317,402,,8747,,262,1351,,,,,13534,,,10063,,,,2310,,,,
JOHNSON,56357,743,,14784,,,890,,479,,,8434,,,15007,,,,1887,,,,
JOLIETTE,56340,610,,13042,,,641,,202,,,6091,,,20455,,,,2428,91,513,,
JONQUIÈRE,45294,428,,8545,,,427,,,,,6833,,274,16429,,,,1089,269,218,,
LA PELTRIE,53974,495,,21871,,156,690,,,,,11747,,,6034,,,,1072,,552,,
LA PINIÈRE,58360,366,,10199,,,431,,306,,,20559,62,,7427,,797,,1820,111,,,
LA PRAIRIE,41728,401,,11114,181,,477,,170,,,9330,50,,11034,,471,,1196,,,,
LABELLE,47369,401,,8239,,,313,,,,,5841,,,17446,,606,,1983,,,,
LAC-SAINT-JEAN,42721,310,195,7703,,,313,,,,,5268,,,16977,,276,,1208,,,,
